,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
20,深高速,600548,2019-09-19,0,0,10,21.81,6.63,7.187783928223707,6.086327037984478,1.1014568902392297
2,大冶特钢,000708,2019-09-20,0,0,10,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
14,恒铭达,002947,2019-09-20,0,0,10,1.22,54.39,6.430347403050073,2.880982478759681,3.5493649242903915
32,鸿远电子,603267,2019-09-09,0,0,10,1.65,27.32,6.3600624641831605,3.4807289909085415,2.879333473274619
28,华正新材,603186,2019-09-06,0,0,10,1.29,52.05,6.316072012471178,2.913038686496659,3.4030333259745187
11,金溢科技,002869,2019-09-20,0,0,10,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
24,中国平安,601318,2019-09-12,0,0,10,182.8,8.17,6.211289104123681,5.481121580206307,0.7301675239173742
30,菲林格尔,603226,2019-09-06,0,0,10,1.51,47.8,6.025528485791048,2.9772043265962265,3.048324159194822
1,长春高新,000661,2019-09-19,0,0,10,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
12,科力尔,002892,2019-09-18,0,0,10,1.42,79.35,5.809787642796232,2.632206616305401,3.1775810264908313
26,博通集成,603068,2019-09-10,0,0,10,1.39,127.3,5.600589283073967,2.3754905584325905,3.225098724641377
34,珀莱雅,603605,2019-09-20,0,0,10,2.01,46.55,5.560806145408273,2.997746260815089,2.5630598845931845
18,恒力石化,600346,2019-09-16,0,0,10,70.39,12.01,5.491940594771541,4.6315894463794205,0.8603511483921202
35,艾迪精密,603638,2019-09-20,0,0,10,3.86,25.86,5.41971521500971,3.5395009567505995,1.88021425825911
23,恒立液压,601100,2019-09-16,0,0,10,8.82,21.71,5.146554134631698,3.740667529811858,1.4058866048198397
13,深南电路,002916,2019-09-20,0,0,10,3.39,47.51,4.967361357609254,2.9818968498007004,1.9854645078085535
36,家家悦,603708,2019-09-20,0,0,10,6.08,33.57,4.862656042832231,3.2766444544101296,1.5860115884221022
27,剑桥科技,603083,2019-09-10,0,0,10,1.67,343.37,4.829598966015784,1.971793611893754,2.85780535412203
0,汇顶科技,603160,2019-09-20,0,0,10,4.56,44.17,4.7997082541593254,3.0392782967774745,1.760429957381851
31,大参林,603233,2019-09-18,0,0,10,5.2,40.02,4.796829753088685,3.120558890214541,1.676270862874144
22,通策医疗,600763,2019-09-20,0,0,10,3.21,76.29,4.6893807383890405,2.6560881900100592,2.033292548378981
3,顺络电子,002138,2019-09-11,0,0,10,8.06,43.09,4.504925255541735,3.059270625884111,1.445654629657624
37,金域医学,603882,2019-09-19,0,0,10,4.58,66.3,4.502459739287325,2.744970005454118,1.7574897338332067
10,视源股份,002841,2019-09-10,0,0,10,6.56,49.75,4.492300333980644,2.946735252494927,1.5455650814857171
38,兆易创新,603986,2019-09-20,0,0,10,3.21,112.45,4.4711759381153575,2.4378833897363763,2.033292548378981
8,领益智造,002600,2019-09-20,0,0,10,68.23,25.65,4.413786049661929,3.54839601036187,0.8653900393000588
5,东山精密,002384,2019-09-09,0,0,10,16.07,38.91,4.332790302146156,3.14453299227515,1.1882573098710063
6,沪电股份,002463,2019-09-20,0,0,10,17.25,38.92,4.311234480131768,3.1443123040787264,1.1669221760530417
15,白云机场,600004,2019-09-20,0,0,10,20.69,43.27,4.171408157964484,3.055885617145663,1.1155225408188205
16,生益科技,600183,2019-09-20,0,0,10,22.76,44.09,4.1310715292076825,3.0407334854686328,1.09033804373905
29,济民制药,603222,2019-09-11,0,0,10,3.2,306.73,4.0467489202472695,2.010651422195594,2.0360974980516757
7,立讯精密,002475,2019-09-20,0,0,10,53.49,43.6,3.9566029053019363,3.0497354096712432,0.9068674956306929
21,闻泰科技,600745,2019-09-20,0,0,10,6.37,169.56,3.8037955416332228,2.242832952047325,1.560962589585898
4,九鼎新材,002201,2019-09-06,0,0,10,3.32,808.56,3.7230523179318986,1.7195649244073867,2.003487393524512
17,恒瑞医药,600276,2019-09-20,0,0,10,44.23,73.38,3.62226986533216,2.6801349416395728,0.942134923692587
9,中公教育,002607,2019-09-20,0,0,10,61.67,96.07,3.404103660453766,2.5219564164825394,0.8821472439712265
25,中国卫通,601698,2019-09-10,0,0,10,40.0,113.89,3.3932494771906883,2.431332374580294,0.9619171026103941
33,韦尔股份,603501,2019-09-20,0,0,10,8.64,1503.97,2.9884856644511304,1.5736933001113527,1.414792364339778
19,中国软件,600536,2019-09-09,0,0,10,4.95,10000.0,2.956883030390209,1.25,1.706883030390209
