,name,code,start_date,end_date,days,p_change,totals,pe
26,中国软件,600536,2019-09-02,0,0,10,4.95,0.0
48,三棵树,603737,2019-09-02,0,0,10,1.86,0.0
12,牧原股份,002714,2019-09-02,0,0,10,20.85,0.0
22,联美控股,600167,2019-09-02,0,0,10,22.88,16.34
31,中国国旅,601888,2019-09-02,0,0,10,19.52,20.21
30,隆基股份,601012,2019-09-02,0,0,10,36.24,24.93
39,鸿远电子,603267,2019-09-02,0,0,10,1.65,27.32
43,绝味食品,603517,2019-09-02,0,0,10,5.74,29.77
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0
25,山东药玻,600529,2019-08-20,0,0,10,5.95,30.64
3,韵达股份,002120,2019-09-02,0,0,10,22.27,31.53
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29
47,家家悦,603708,2019-09-02,0,0,10,6.08,33.57
29,长江电力,600900,2019-08-29,0,0,10,220.0,35.12
6,海大集团,002311,2019-09-02,0,0,10,15.81,38.71
4,中航光电,002179,2019-09-02,0,0,10,10.28,38.89
8,沪电股份,002463,2019-09-02,0,0,10,17.25,38.92
38,大参林,603233,2019-09-02,0,0,10,5.2,40.02
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16
46,健友股份,603707,2019-09-02,0,0,10,7.18,42.74
20,白云机场,600004,2019-09-02,0,0,10,20.69,43.27
9,立讯精密,002475,2019-09-02,0,0,10,53.49,43.6
23,生益科技,600183,2019-09-02,0,0,10,22.76,44.09
0,汇顶科技,603160,2019-09-02,0,0,10,4.56,44.17
2,华兰生物,002007,2019-08-30,0,0,10,14.03,45.11
44,珀莱雅,603605,2019-09-02,0,0,10,2.01,46.55
28,宝信软件,600845,2019-09-02,0,0,10,11.41,46.61
51,益丰药房,603939,2019-09-02,0,0,10,3.79,47.12
18,深南电路,002916,2019-09-02,0,0,10,3.39,47.51
37,菲林格尔,603226,2019-09-02,0,0,10,1.51,47.8
14,视源股份,002841,2019-09-02,0,0,10,6.56,49.75
49,桃李面包,603866,2019-09-02,0,0,10,6.59,52.44
13,凯莱英,002821,2019-09-02,0,0,10,2.31,55.29
40,海天味业,603288,2019-09-02,0,0,10,27.0,56.3
45,安图生物,603658,2019-09-02,0,0,10,4.2,56.8
41,集友股份,603429,2019-09-02,0,0,10,2.66,62.03
19,鹏鼎控股,002938,2019-09-02,0,0,10,23.11,64.36
50,金域医学,603882,2019-09-02,0,0,10,4.58,66.3
24,恒瑞医药,600276,2019-09-02,0,0,10,44.23,73.38
27,通策医疗,600763,2019-09-02,0,0,10,3.21,76.29
17,科力尔,002892,2019-09-02,0,0,10,1.42,79.35
15,金溢科技,002869,2019-09-02,0,0,10,1.18,83.71
11,中公教育,002607,2019-09-02,0,0,10,61.67,96.07
32,广州酒家,603043,2019-09-02,0,0,10,4.04,107.31
35,昭衍新药,603127,2019-09-02,0,0,10,1.61,120.09
33,博通集成,603068,2019-09-02,0,0,10,1.39,127.3
7,广联达,002410,2019-08-30,0,0,10,11.27,227.09
16,美格智能,002881,2019-09-02,0,0,10,1.81,235.8
36,济民制药,603222,2019-09-02,0,0,10,3.2,306.73
34,剑桥科技,603083,2019-08-21,0,0,10,1.67,343.37
5,九鼎新材,002201,2019-09-02,0,0,10,3.32,808.56
42,韦尔股份,603501,2019-09-02,0,0,10,8.64,1503.97
